ZipCode,EstimatedCombinedRate,,,,
83845,0.06,,,,
83846,0.06,,,,
83847,0.06,,,,
83848,0.06,,,,
83849,0.06,,,,
83850,0.06,,,,
83851,0.06,,,,
83852,0.06,,,,
83853,0.06,,,,
83854,0.06,,,,
83855,0.06,,,,
83856,0.06,,,,
83857,0.06,,,,
83858,0.06,,,,
83860,0.06,,,,
83861,0.06,,,,
83864,0.06,,,,
83865,0.06,,,,
83866,0.06,,,,
83867,0.06,,,,
83868,0.06,,,,
83869,0.06,,,,
83870,0.06,,,,
83871,0.06,,,,
83872,0.06,,,,
83873,0.06,,,,
83874,0.06,,,,
83876,0.06,,,,
83877,0.06,,,,
