ZipCode,EstimatedCombinedRate,,,,
66778,0.09,,,,
66779,0.079,,,,
66780,0.075,,,,
66781,0.08,,,,
66782,0.09,,,,
66783,0.095,,,,
66801,0.085,,,,
66830,0.075,,,,
66833,0.075,,,,
66834,0.08,,,,
66835,0.08,,,,
66838,0.075,,,,
66839,0.085,,,,
66840,0.0675,,,,
66842,0.0675,,,,
66843,0.075,,,,
66845,0.085,,,,
66846,0.092,,,,
66849,0.075,,,,
66850,0.075,,,,
66851,0.09,,,,
66852,0.065,,,,
66853,0.075,,,,
66854,0.085,,,,
66855,0.075,,,,
66856,0.075,,,,
66857,0.075,,,,
66858,0.08,,,,
66859,0.08,,,,
66860,0.075,,,,
66861,0.0875,,,,
66862,0.075,,,,
66863,0.075,,,,
66864,0.085,,,,
66865,0.075,,,,
66866,0.09,,,,
66868,0.075,,,,
66869,0.085,,,,
66870,0.075,,,,
66871,0.065,,,,
66872,0.075,,,,
66873,0.075,,,,
66901,0.085,,,,
66930,0.085,,,,
66932,0.085,,,,
66933,0.075,,,,
66935,0.09,,,,
66936,0.075,,,,
66937,0.075,,,,
66938,0.075,,,,
66939,0.085,,,,
66940,0.085,,,,
66941,0.075,,,,
66942,0.075,,,,
66943,0.075,,,,
66944,0.075,,,,
66945,0.075,,,,
66946,0.075,,,,
66948,0.075,,,,
66949,0.075,,,,
66951,0.085,,,,
66952,0.085,,,,
66953,0.075,,,,
66955,0.075,,,,
66956,0.0825,,,,
66958,0.075,,,,
66959,0.085,,,,
66960,0.085,,,,
66961,0.085,,,,
66962,0.075,,,,
66963,0.075,,,,
66964,0.085,,,,
66966,0.085,,,,
66967,0.095,,,,
66968,0.085,,,,
66970,0.075,,,,
67001,0.075,,,,
67002,0.085,,,,
67003,0.07,,,,
67004,0.085,,,,
67005,0.0925,,,,
67008,0.0675,,,,
67009,0.075,,,,
67010,0.0675,,,,
67012,0.0675,,,,
67013,0.085,,,,
67016,0.075,,,,
67017,0.0675,,,,
67018,0.065,,,,
67019,0.0675,,,,
67020,0.085,,,,
67021,0.0825,,,,
67022,0.085,,,,
67023,0.0675,,,,
67024,0.095,,,,
67025,0.075,,,,
67026,0.075,,,,
67028,0.0825,,,,
67029,0.085,,,,
67030,0.075,,,,
67031,0.085,,,,
67035,0.08,,,,
67036,0.065,,,,
67037,0.08,,,,
67038,0.0675,,,,
67039,0.0675,,,,
