ZipCode,EstimatedCombinedRate,,,,
60518,0.065,,,,
60519,0.07,,,,
60520,0.0625,,,,
60521,0.08,,,,
60522,0.075,,,,
60523,0.075,,,,
60525,0.1,,,,
60526,0.09,,,,
60527,0.07,,,,
60530,0.0775,,,,
60531,0.065,,,,
60532,0.07,,,,
60534,0.1,,,,
60536,0.0725,,,,
60537,0.0725,,,,
60538,0.08,,,,
60539,0.07,,,,
60540,0.075,,,,
60541,0.0725,,,,
60542,0.075,,,,
60543,0.085,,,,
60544,0.085,,,,
60545,0.0725,,,,
60546,0.1,,,,
60548,0.0725,,,,
60549,0.065,,,,
60550,0.0625,,,,
60551,0.065,,,,
60552,0.0625,,,,
60553,0.0775,,,,
60554,0.08,,,,
60555,0.0825,,,,
60556,0.0725,,,,
60557,0.065,,,,
60558,0.09,,,,
60559,0.075,,,,
60560,0.0825,,,,
60561,0.08,,,,
60563,0.075,,,,
60564,0.075,,,,
60565,0.075,,,,
60566,0.075,,,,
60567,0.075,,,,
60568,0.0825,,,,
60569,0.0825,,,,
60572,0.0825,,,,
60585,0.085,,,,
60586,0.0875,,,,
60598,0.0825,,,,
60599,0.0825,,,,
60601,0.1025,,,,
60602,0.1025,,,,
60603,0.1025,,,,
60604,0.1025,,,,
60605,0.1025,,,,
60606,0.1025,,,,
60607,0.1025,,,,
60608,0.1025,,,,
60609,0.1025,,,,
60610,0.1025,,,,
60611,0.1025,,,,
60612,0.1025,,,,
60613,0.1025,,,,
60614,0.1025,,,,
60615,0.1025,,,,
60616,0.1025,,,,
60617,0.1025,,,,
60618,0.1025,,,,
60619,0.1025,,,,
60620,0.1025,,,,
60621,0.1025,,,,
60622,0.1025,,,,
60623,0.1025,,,,
60624,0.1025,,,,
60625,0.1025,,,,
60626,0.1025,,,,
60628,0.1025,,,,
60629,0.1025,,,,
60630,0.1025,,,,
60631,0.1025,,,,
60632,0.1025,,,,
60633,0.1025,,,,
60634,0.1025,,,,
60636,0.1025,,,,
60637,0.1025,,,,
60638,0.1025,,,,
60639,0.1025,,,,
60640,0.1025,,,,
60641,0.1025,,,,
60642,0.1025,,,,
60643,0.1025,,,,
60644,0.1025,,,,
60645,0.1025,,,,
60646,0.1025,,,,
60647,0.1025,,,,
60649,0.1025,,,,
60651,0.1025,,,,
60652,0.1025,,,,
60653,0.1025,,,,
60654,0.1025,,,,
60655,0.1025,,,,
60656,0.1025,,,,
60657,0.1025,,,,
60659,0.1025,,,,
60660,0.1025,,,,
60661,0.1025,,,,
60664,0.1025,,,,
60666,0.1025,,,,
60668,0.1025,,,,
60669,0.1025,,,,
60670,0.1025,,,,
60673,0.1025,,,,
60674,0.1025,,,,
60675,0.1025,,,,
60677,0.1025,,,,
60678,0.1025,,,,
60680,0.1025,,,,
60681,0.1025,,,,
60682,0.1025,,,,
60684,0.1025,,,,
60685,0.1025,,,,
60686,0.1025,,,,
60687,0.1025,,,,
60688,0.1025,,,,
60689,0.1025,,,,
60690,0.1025,,,,
60691,0.1025,,,,
60693,0.1025,,,,
60694,0.1025,,,,
60695,0.1025,,,,
60696,0.1025,,,,
60697,0.1025,,,,
60699,0.1025,,,,
60701,0.1,,,,
60706,0.1025,,,,
60707,0.1,,,,
60712,0.1,,,,
60714,0.1025,,,,
60803,0.1,,,,
60804,0.1075,,,,
60805,0.0975,,,,
60827,0.1,,,,
60901,0.0625,,,,
60910,0.0625,,,,
60911,0.065,,,,
60912,0.065,,,,
60913,0.0625,,,,
60914,0.0625,,,,
60915,0.0625,,,,
60917,0.0625,,,,
60918,0.065,,,,
60919,0.0625,,,,
60920,0.0725,,,,
60921,0.0725,,,,
60922,0.065,,,,
60924,0.065,,,,
60926,0.065,,,,
60927,0.065,,,,
60928,0.065,,,,
60929,0.0725,,,,
60930,0.065,,,,
60931,0.065,,,,
60932,0.065,,,,
60933,0.0625,,,,
60934,0.0725,,,,
60935,0.0625,,,,
60936,0.0625,,,,
60938,0.065,,,,
60939,0.065,,,,
60940,0.0625,,,,
60941,0.0625,,,,
60942,0.065,,,,
60944,0.0825,,,,
60945,0.065,,,,
60946,0.0625,,,,
60948,0.065,,,,
60949,0.075,,,,
60950,0.0625,,,,
60951,0.065,,,,
60952,0.0625,,,,
60953,0.065,,,,
60954,0.0625,,,,
60955,0.065,,,,
60956,0.065,,,,
60957,0.0625,,,,
60958,0.0625,,,,
60959,0.0625,,,,
60960,0.065,,,,
60961,0.0625,,,,
60962,0.0625,,,,
60963,0.065,,,,
60964,0.0625,,,,
60966,0.065,,,,
60967,0.065,,,,
60968,0.065,,,,
60969,0.0625,,,,
60970,0.0725,,,,
60973,0.065,,,,
60974,0.065,,,,
61001,0.0725,,,,
61006,0.0775,,,,
61007,0.0625,,,,
61008,0.0775,,,,
61010,0.0725,,,,
61011,0.0775,,,,
61012,0.0775,,,,
61013,0.0825,,,,
61014,0.065,,,,
61015,0.0625,,,,
61016,0.0725,,,,
61018,0.0675,,,,
61019,0.0675,,,,
61020,0.0625,,,,
61021,0.0825,,,,
61024,0.0725,,,,
61025,0.0775,,,,
61027,0.0675,,,,
61028,0.0725,,,,
61030,0.0625,,,,
61031,0.0775,,,,
61032,0.08,,,,
61036,0.0725,,,,
61037,0.0725,,,,
61038,0.0775,,,,
61039,0.0675,,,,
61041,0.0725,,,,
61042,0.0775,,,,
61043,0.0625,,,,
61044,0.0675,,,,
61046,0.065,,,,
61047,0.0625,,,,
61048,0.0675,,,,
61049,0.0625,,,,
61050,0.0675,,,,
61051,0.065,,,,
61052,0.0625,,,,
61053,0.065,,,,
61054,0.0625,,,,
61057,0.0775,,,,
61059,0.0725,,,,
61060,0.0675,,,,
61061,0.0725,,,,
61062,0.0675,,,,
61063,0.0725,,,,
61064,0.0625,,,,
61065,0.0775,,,,
61067,0.0675,,,,
61068,0.07,,,,
61070,0.0675,,,,
61071,0.0825,,,,
61072,0.0725,,,,
61073,0.0725,,,,
61074,0.065,,,,
61075,0.0725,,,,
61077,0.0725,,,,
61078,0.065,,,,
61079,0.0825,,,,
61080,0.0725,,,,
61081,0.0825,,,,
61084,0.0625,,,,
61085,0.0725,,,,
61087,0.0725,,,,
61088,0.0725,,,,
61089,0.0675,,,,
61091,0.0625,,,,
61101,0.0825,,,,
61102,0.0825,,,,
61103,0.0825,,,,
61104,0.0825,,,,
61105,0.0825,,,,
61106,0.0825,,,,
61107,0.0825,,,,
61108,0.0825,,,,
61109,0.0825,,,,
61110,0.0825,,,,
61111,0.0825,,,,
61112,0.0825,,,,
61114,0.0825,,,,
61115,0.0825,,,,
61125,0.0825,,,,
61126,0.0825,,,,
61130,0.0825,,,,
61131,0.0825,,,,
61132,0.0825,,,,
61201,0.085,,,,
61204,0.085,,,,
61230,0.0725,,,,
61231,0.0725,,,,
61232,0.0725,,,,
61233,0.0725,,,,
61234,0.0725,,,,
61235,0.0725,,,,
61236,0.0725,,,,
61237,0.0725,,,,
61238,0.0725,,,,
61239,0.08,,,,
61240,0.0725,,,,
61241,0.0775,,,,
61242,0.0725,,,,
61243,0.0725,,,,
61244,0.0775,,,,
61250,0.0725,,,,
61251,0.0725,,,,
61252,0.08,,,,
61254,0.0775,,,,
61256,0.0775,,,,
61257,0.0725,,,,
61258,0.0725,,,,
61259,0.0725,,,,
61260,0.0725,,,,
61261,0.0725,,,,
61262,0.0725,,,,
61263,0.0725,,,,
61264,0.0725,,,,
61265,0.085,,,,
61266,0.085,,,,
61270,0.0825,,,,
61272,0.0725,,,,
61273,0.0725,,,,
61274,0.0725,,,,
61275,0.0725,,,,
61276,0.0725,,,,
61277,0.0725,,,,
61278,0.0725,,,,
61279,0.0725,,,,
61281,0.0725,,,,
61282,0.0775,,,,
61283,0.0675,,,,
61284,0.0725,,,,
61285,0.065,,,,
61299,0.085,,,,
61301,0.07,,,,
61310,0.0775,,,,
61311,0.0725,,,,
61312,0.0675,,,,
61313,0.0725,,,,
61314,0.0675,,,,
61315,0.0675,,,,
61316,0.065,,,,
61317,0.0675,,,,
61318,0.0775,,,,
61319,0.0725,,,,
61320,0.0675,,,,
61321,0.065,,,,
61322,0.07,,,,
61323,0.07,,,,
61324,0.0775,,,,
61325,0.065,,,,
61326,0.0625,,,,
61327,0.0625,,,,
61328,0.07,,,,
61329,0.0675,,,,
61330,0.0675,,,,
61331,0.0775,,,,
61332,0.065,,,,
61333,0.0725,,,,
61334,0.065,,,,
61335,0.0625,,,,
61336,0.0625,,,,
61337,0.0675,,,,
61338,0.0675,,,,
61340,0.0625,,,,
61341,0.065,,,,
61342,0.065,,,,
61344,0.0675,,,,
61345,0.0675,,,,
61346,0.0675,,,,
61348,0.07,,,,
61349,0.0675,,,,
61350,0.07,,,,
61353,0.0775,,,,
61354,0.075,,,,
61356,0.0725,,,,
61358,0.065,,,,
61359,0.07,,,,
61360,0.065,,,,
61361,0.0675,,,,
61362,0.0725,,,,
61363,0.0625,,,,
61364,0.075,,,,
61367,0.0775,,,,
61368,0.0675,,,,
61369,0.0625,,,,
61370,0.065,,,,
61371,0.065,,,,
61372,0.07,,,,
61373,0.065,,,,
61374,0.0675,,,,
61375,0.0625,,,,
61376,0.0675,,,,
61377,0.0625,,,,
61378,0.0775,,,,
61379,0.0675,,,,
61401,0.0875,,,,
61402,0.0875,,,,
61410,0.0775,,,,
61411,0.08,,,,
61412,0.0725,,,,
61413,0.0725,,,,
61414,0.0775,,,,
61415,0.0775,,,,
61416,0.08,,,,
61417,0.0725,,,,
61418,0.0725,,,,
61419,0.0875,,,,
61420,0.08,,,,
61421,0.0675,,,,
61422,0.085,,,,
61423,0.0725,,,,
61424,0.0875,,,,
61425,0.0725,,,,
61426,0.0675,,,,
61427,0.0775,,,,
61428,0.0775,,,,
61430,0.0775,,,,
61431,0.0775,,,,
61432,0.0775,,,,
61433,0.0775,,,,
61434,0.0725,,,,
61435,0.0725,,,,
61436,0.0775,,,,
61437,0.0725,,,,
61438,0.08,,,,
61439,0.0775,,,,
61440,0.08,,,,
61441,0.0775,,,,
61442,0.0725,,,,
61443,0.0775,,,,
61447,0.0725,,,,
61448,0.0775,,,,
61449,0.0675,,,,
61450,0.0625,,,,
61451,0.0725,,,,
61452,0.0725,,,,
61453,0.0725,,,,
61454,0.0725,,,,
61455,0.09,,,,
61458,0.0775,,,,
61459,0.0775,,,,
61460,0.0725,,,,
