ZipCode,EstimatedCombinedRate,,,,
80622,0.029,,,,
80623,0.069,,,,
80624,0.029,,,,
80631,0.0701,,,,
80632,0.0701,,,,
80633,0.0701,,,,
80634,0.0701,,,,
80638,0.0701,,,,
80639,0.0701,,,,
80640,0.0925,,,,
80642,0.029,,,,
80643,0.029,,,,
80644,0.029,,,,
80645,0.029,,,,
80646,0.029,,,,
80648,0.049,,,,
80649,0.029,,,,
80650,0.029,,,,
80651,0.029,,,,
80652,0.029,,,,
80653,0.029,,,,
80654,0.029,,,,
80701,0.069,,,,
80705,0.059,,,,
80720,0.069,,,,
80721,0.039,,,,
80722,0.039,,,,
80723,0.069,,,,
80726,0.039,,,,
80727,0.029,,,,
80728,0.039,,,,
80729,0.029,,,,
80731,0.074,,,,
80732,0.029,,,,
80733,0.029,,,,
80734,0.054,,,,
80735,0.029,,,,
80736,0.039,,,,
80737,0.059,,,,
80740,0.044,,,,
80741,0.039,,,,
80742,0.029,,,,
80743,0.044,,,,
80744,0.049,,,,
80745,0.039,,,,
80746,0.039,,,,
80747,0.039,,,,
80749,0.049,,,,
80750,0.029,,,,
80751,0.07,,,,
80754,0.029,,,,
80755,0.029,,,,
80757,0.044,,,,
80758,0.054,,,,
80759,0.059,,,,
80801,0.044,,,,
80802,0.029,,,,
80804,0.049,,,,
80805,0.029,,,,
80807,0.049,,,,
80808,0.0513,,,,
80809,0.0513,,,,
80810,0.029,,,,
80812,0.044,,,,
80813,0.039,,,,
80814,0.039,,,,
80815,0.029,,,,
80816,0.039,,,,
80817,0.0788,,,,
80818,0.049,,,,
80819,0.0813,,,,
80820,0.039,,,,
80821,0.049,,,,
80822,0.029,,,,
80823,0.049,,,,
80824,0.029,,,,
80825,0.029,,,,
80826,0.049,,,,
80827,0.039,,,,
80828,0.069,,,,
80829,0.0903,,,,
80830,0.039,,,,
80831,0.0513,,,,
80832,0.039,,,,
80833,0.0513,,,,
80834,0.029,,,,
80835,0.039,,,,
80836,0.029,,,,
80840,0.0513,,,,
80841,0.0513,,,,
80860,0.069,,,,
80861,0.029,,,,
80862,0.029,,,,
80863,0.0799,,,,
80864,0.0513,,,,
80866,0.0799,,,,
80901,0.0825,,,,
80902,0.0513,,,,
80903,0.0825,,,,
80904,0.0825,,,,
80905,0.0825,,,,
80906,0.0825,,,,
80907,0.0825,,,,
80908,0.0513,,,,
80909,0.0825,,,,
80910,0.0825,,,,
80911,0.0513,,,,
80913,0.0513,,,,
80914,0.0825,,,,
80915,0.0513,,,,
80916,0.0825,,,,
80917,0.0825,,,,
80918,0.0825,,,,
80919,0.0825,,,,
80920,0.0825,,,,
80921,0.0513,,,,
80922,0.0825,,,,
80923,0.0825,,,,
80924,0.0825,,,,
80925,0.0513,,,,
80926,0.0513,,,,
80927,0.0825,,,,
80928,0.0513,,,,
80929,0.0513,,,,
80930,0.0513,,,,
80931,0.0513,,,,
80932,0.0825,,,,
80933,0.0825,,,,
80934,0.0825,,,,
80935,0.0825,,,,
80936,0.0825,,,,
80937,0.0825,,,,
80938,0.0825,,,,
80939,0.0513,,,,
80941,0.0825,,,,
80942,0.0825,,,,
80946,0.0825,,,,
80947,0.0825,,,,
80949,0.0825,,,,
80950,0.0825,,,,
80951,0.0513,,,,
80960,0.0825,,,,
80962,0.0825,,,,
80970,0.0513,,,,
80977,0.0513,,,,
80997,0.0825,,,,
81001,0.076,,,,
81002,0.076,,,,
81003,0.076,,,,
81004,0.076,,,,
81005,0.076,,,,
81006,0.039,,,,
81007,0.039,,,,
81008,0.076,,,,
81009,0.076,,,,
81010,0.076,,,,
81011,0.076,,,,
81012,0.076,,,,
81019,0.076,,,,
81020,0.044,,,,
81021,0.029,,,,
81022,0.039,,,,
81023,0.039,,,,
81024,0.044,,,,
81025,0.039,,,,
81027,0.044,,,,
81029,0.029,,,,
81030,0.039,,,,
81033,0.049,,,,
81034,0.069,,,,
81036,0.029,,,,
81038,0.069,,,,
81039,0.069,,,,
81040,0.049,,,,
81041,0.039,,,,
81043,0.039,,,,
81044,0.039,,,,
81045,0.029,,,,
81046,0.044,,,,
81047,0.039,,,,
81049,0.044,,,,
81050,0.079,,,,
81052,0.069,,,,
81054,0.069,,,,
81055,0.049,,,,
81057,0.039,,,,
81058,0.039,,,,
81059,0.044,,,,
81062,0.049,,,,
81063,0.049,,,,
81064,0.029,,,,
81067,0.079,,,,
81069,0.039,,,,
81071,0.029,,,,
81073,0.049,,,,
81076,0.049,,,,
81077,0.039,,,,
81081,0.044,,,,
81082,0.084,,,,
81084,0.029,,,,
81087,0.029,,,,
81089,0.079,,,,
81090,0.029,,,,
81091,0.044,,,,
81092,0.039,,,,
81101,0.079,,,,
81102,0.079,,,,
81120,0.029,,,,
81121,0.079,,,,
81122,0.049,,,,
81123,0.039,,,,
81124,0.029,,,,
81125,0.039,,,,
81126,0.039,,,,
81128,0.069,,,,
81129,0.079,,,,
81130,0.055,,,,
81131,0.079,,,,
81132,0.075,,,,
81133,0.039,,,,
81135,0.075,,,,
81136,0.059,,,,
81137,0.049,,,,
81138,0.079,,,,
81140,0.029,,,,
81141,0.079,,,,
81143,0.039,,,,
81144,0.075,,,,
81146,0.059,,,,
81147,0.069,,,,
81148,0.079,,,,
81149,0.039,,,,
81151,0.029,,,,
81152,0.039,,,,
81154,0.055,,,,
81155,0.039,,,,
81157,0.069,,,,
81201,0.084,,,,
81210,0.049,,,,
81211,0.054,,,,
81212,0.084,,,,
81215,0.084,,,,
81220,0.049,,,,
81221,0.054,,,,
81222,0.084,,,,
81223,0.054,,,,
81224,0.049,,,,
81225,0.094,,,,
81226,0.079,,,,
81227,0.054,,,,
81228,0.054,,,,
81230,0.089,,,,
81231,0.089,,,,
81232,0.084,,,,
81233,0.054,,,,
81235,0.079,,,,
81236,0.054,,,,
81237,0.049,,,,
81239,0.049,,,,
81240,0.054,,,,
81241,0.069,,,,
81242,0.084,,,,
81243,0.049,,,,
81244,0.054,,,,
81247,0.089,,,,
81248,0.084,,,,
81251,0.069,,,,
81252,0.049,,,,
81253,0.049,,,,
81290,0.079,,,,
81301,0.079,,,,
81302,0.079,,,,
81303,0.049,,,,
81320,0.029,,,,
81321,0.0735,,,,
81323,0.033,,,,
81324,0.029,,,,
81325,0.039,,,,
81326,0.049,,,,
81327,0.033,,,,
81328,0.033,,,,
81329,0.049,,,,
81330,0.033,,,,
81331,0.033,,,,
81332,0.079,,,,
81334,0.033,,,,
81335,0.033,,,,
81401,0.0795,,,,
81402,0.0795,,,,
81403,0.0465,,,,
81410,0.049,,,,
81411,0.0465,,,,
81413,0.049,,,,
81414,0.049,,,,
81415,0.049,,,,
81416,0.079,,,,
81418,0.049,,,,
81419,0.049,,,,
81420,0.049,,,,
81422,0.0865,,,,
81423,0.069,,,,
81424,0.0865,,,,
81425,0.0465,,,,
81426,0.0415,,,,
81427,0.0945,,,,
81428,0.049,,,,
81429,0.0465,,,,
81430,0.0415,,,,
81431,0.0465,,,,
81432,0.0545,,,,
81433,0.104,,,,
81434,0.049,,,,
81435,0.0865,,,,
81501,0.0802,,,,
81502,0.0802,,,,
81503,0.0527,,,,
81504,0.0527,,,,
81505,0.0802,,,,
81506,0.0802,,,,
81507,0.0527,,,,
81520,0.0527,,,,
81521,0.0827,,,,
81522,0.0527,,,,
81523,0.0527,,,,
81524,0.0527,,,,
81525,0.0527,,,,
81526,0.0727,,,,
81527,0.0527,,,,
81601,0.086,,,,
81602,0.086,,,,
81610,0.049,,,,
81611,0.093,,,,
81612,0.093,,,,
81615,0.104,,,,
81620,0.084,,,,
81621,0.082,,,,
81623,0.084,,,,
81624,0.0527,,,,
81625,0.0715,,,,
81626,0.0715,,,,
81630,0.0527,,,,
81631,0.089,,,,
81632,0.054,,,,
81633,0.049,,,,
81635,0.039,,,,
81636,0.0765,,,,
81637,0.044,,,,
81638,0.049,,,,
81639,0.039,,,,
81640,0.049,,,,
81641,0.065,,,,
81642,0.069,,,,
81643,0.0527,,,,
81645,0.084,,,,
81646,0.0527,,,,
81647,0.039,,,,
81648,0.065,,,,
81649,0.074,,,,
81650,0.0815,,,,
81652,0.069,,,,
81653,0.049,,,,
81654,0.069,,,,
81655,0.044,,,,
81656,0.069,,,,
81657,0.084,,,,
81658,0.084,,,,
